"name","clone_url","open_issues","url"
"child-development-kit","https://github.com/byuitechops/child-development-kit.git",4,"https://github.com/byuitechops/child-development-kit"
"create-course-object","https://github.com/byuitechops/create-course-object.git",1,"https://github.com/byuitechops/create-course-object"
"index-directory","https://github.com/byuitechops/index-directory.git",0,"https://github.com/byuitechops/index-directory"
"set-file-paths","https://github.com/byuitechops/set-file-paths.git",0,"https://github.com/byuitechops/set-file-paths"
"unzip","https://github.com/byuitechops/unzip.git",0,"https://github.com/byuitechops/unzip"
"write-course","https://github.com/byuitechops/write-course.git",0,"https://github.com/byuitechops/write-course"
"zip","https://github.com/byuitechops/zip.git",0,"https://github.com/byuitechops/zip"
"create-course","https://github.com/byuitechops/create-course.git",0,"https://github.com/byuitechops/create-course"
"get-migration-issues","https://github.com/byuitechops/get-migration-issues.git",1,"https://github.com/byuitechops/get-migration-issues"
"upload-course","https://github.com/byuitechops/upload-course.git",1,"https://github.com/byuitechops/upload-course"
"delete-course","https://github.com/byuitechops/delete-course.git",0,"https://github.com/byuitechops/delete-course"
"remove-files","https://github.com/byuitechops/remove-files.git",0,"https://github.com/byuitechops/remove-files"
"same-module-multicall-example","https://github.com/byuitechops/same-module-multicall-example.git",0,"https://github.com/byuitechops/same-module-multicall-example"
"course-object-verifier","https://github.com/byuitechops/course-object-verifier.git",0,"https://github.com/byuitechops/course-object-verifier"
"child-template","https://github.com/byuitechops/child-template.git",0,"https://github.com/byuitechops/child-template"
"quiz-fix-overlay","https://github.com/byuitechops/quiz-fix-overlay.git",0,"https://github.com/byuitechops/quiz-fix-overlay"
"svg-cleaner","https://github.com/byuitechops/svg-cleaner.git",0,"https://github.com/byuitechops/svg-cleaner"
"canvas-gauntlet-ous","https://github.com/byuitechops/canvas-gauntlet-ous.git",0,"https://github.com/byuitechops/canvas-gauntlet-ous"
"d2l-course-content-report","https://github.com/byuitechops/d2l-course-content-report.git",0,"https://github.com/byuitechops/d2l-course-content-report"
"copy-a-canvas-course","https://github.com/byuitechops/copy-a-canvas-course.git",0,"https://github.com/byuitechops/copy-a-canvas-course"
